fetchedAtUTC,LastUpdatedTime,location_address,location_name,location_longtitude,location_latitude,location_postalCode,location_locationId,location_status,location_status_desc,cp_status,cp_status_desc,cp_operatingHours,cp_operator,cp_position,cp_name,cp_id,plug_plugType,plug_powerRating,plug_chargingSpeed,plug_current,plug_price,plug_priceType,ev_id,evCpId,ev_status,ev_status_desc
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,247 JURONG EAST STREET 24 SINGAPORE 600247,BLK 246/249 JURONG EAST STREET 24,103.740094,1.342017,600247,,,Unknown/Not Provided,1,Available,,CHARGE+ PTE. LTD.,L1 107 & 108,BLK 246/249 JURONG EAST STREET 24,,Type 2,7.4,,AC,0.6290,kWh,,R119149B-002,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,49 DORSET ROAD SINGAPORE 210049,BLK 49/50 DORSET ROAD FARRER PARK GARDENS,103.85068,1.313251,210049,,,Unknown/Not Provided,1,Available,,CHARGE+ PTE. LTD.,L1 68 & 69,BLK 49/50 DORSET ROAD FARRER PARK GARDENS,,Type 2,7.4,,AC,0.6290,kWh,,R109745K-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,49 DORSET ROAD SINGAPORE 210049,BLK 49/50 DORSET ROAD FARRER PARK GARDENS,103.85068,1.313251,210049,,,Unknown/Not Provided,1,Available,,CHARGE+ PTE. LTD.,L1 68 & 69,BLK 49/50 DORSET ROAD FARRER PARK GARDENS,,Type 2,7.4,,AC,0.6290,kWh,,R109745K-002,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,49 DORSET ROAD SINGAPORE 210049,BLK 49/50 DORSET ROAD FARRER PARK GARDENS,103.85068,1.313251,210049,,,Unknown/Not Provided,1,Available,,CHARGE+ PTE. LTD.,L1 64 & 65,BLK 49/50 DORSET ROAD FARRER PARK GARDENS,,Type 2,7.4,,AC,0.6290,kWh,,R109743A-002,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,49 DORSET ROAD SINGAPORE 210049,BLK 49/50 DORSET ROAD FARRER PARK GARDENS,103.85068,1.313251,210049,,,Unknown/Not Provided,1,Available,,CHARGE+ PTE. LTD.,L1 64 & 65,BLK 49/50 DORSET ROAD FARRER PARK GARDENS,,Type 2,7.4,,AC,0.6290,kWh,,R109743A-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,49 DORSET ROAD SINGAPORE 210049,BLK 49/50 DORSET ROAD FARRER PARK GARDENS,103.85068,1.313251,210049,,,Unknown/Not Provided,1,Available,,CHARGE+ PTE. LTD.,L1 66 & 67,BLK 49/50 DORSET ROAD FARRER PARK GARDENS,,Type 2,7.4,,AC,0.6290,kWh,,R109744E-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,49 DORSET ROAD SINGAPORE 210049,BLK 49/50 DORSET ROAD FARRER PARK GARDENS,103.85068,1.313251,210049,,,Unknown/Not Provided,1,Available,,CHARGE+ PTE. LTD.,L1 66 & 67,BLK 49/50 DORSET ROAD FARRER PARK GARDENS,,Type 2,7.4,,AC,0.6290,kWh,,R109744E-002,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,883 WOODLANDS STREET 82 SINGAPORE 730883,ATM DBS WOODLANDS NORTH PLAZA,103.790771,1.442836,730883,,,Unknown/Not Provided,1,Available,,COMFORTDELGRO ENGIE PTE. LTD.,LD 48 & 49,ATM DBS WOODLANDS NORTH PLAZA,,Combo 2,100,,DC,0.7400,kWh,,R115291K-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,883 WOODLANDS STREET 82 SINGAPORE 730883,ATM DBS WOODLANDS NORTH PLAZA,103.790771,1.442836,730883,,,Unknown/Not Provided,1,Available,,COMFORTDELGRO ENGIE PTE. LTD.,LD 48 & 49,ATM DBS WOODLANDS NORTH PLAZA,,Combo 2,100,,DC,0.7400,kWh,,R115291K-002,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,4 SAGO LANE SINGAPORE 050004,BLK 4 SAGO LANE CAR PARK,103.842977,1.281676,050004,,,Unknown/Not Provided,1,Available,,STRIDES YTL PTE. LTD.,L1 28,BLK 4 SAGO LANE CAR PARK,,Type 2,7.4,,AC,0.6781,kWh,,R115883H-001,1,Available
